-3.996875E+00,+2.072189E+00,+2.157616E+00
-3.993750E+00,+2.087264E+00,+2.167666E+00
-3.990625E+00,+2.132491E+00,+2.210380E+00
-3.987500E+00,+2.137516E+00,+2.215405E+00
-3.984375E+00,+1.933998E+00,+2.021938E+00
-3.981250E+00,+1.886259E+00,+1.979224E+00
-3.978125E+00,+1.918923E+00,+2.009375E+00
-3.975000E+00,+2.031988E+00,+2.122440E+00
-3.971875E+00,+2.037013E+00,+2.122440E+00
-3.968750E+00,+1.861134E+00,+1.954099E+00
-3.965625E+00,+1.745556E+00,+1.836008E+00
-3.962500E+00,+1.808370E+00,+1.893797E+00
-3.959375E+00,+1.790782E+00,+1.878722E+00
-3.956250E+00,+1.818420E+00,+1.908872E+00
-3.953125E+00,+1.720430E+00,+1.808370E+00
-3.950000E+00,+1.582239E+00,+1.667666E+00
-3.946875E+00,+1.584752E+00,+1.670179E+00
-3.943750E+00,+1.637516E+00,+1.720430E+00
-3.940625E+00,+1.657616E+00,+1.740531E+00
-3.937500E+00,+1.667666E+00,+1.745556E+00
-3.934375E+00,+1.439023E+00,+1.516913E+00
-3.931250E+00,+1.353596E+00,+1.431486E+00
-3.928125E+00,+1.436511E+00,+1.514400E+00
-3.925000E+00,+1.469174E+00,+1.544551E+00
-3.921875E+00,+1.514400E+00,+1.589777E+00
-3.918750E+00,+1.376209E+00,+1.449073E+00
-3.915625E+00,+1.263144E+00,+1.333496E+00
-3.912500E+00,+1.318420E+00,+1.388772E+00
-3.909375E+00,+1.358621E+00,+1.428973E+00
-3.906250E+00,+1.333496E+00,+1.401335E+00
-3.903125E+00,+1.303345E+00,+1.371184E+00
-3.900000E+00,+1.147566E+00,+1.210380E+00
-3.896875E+00,+1.152591E+00,+1.215405E+00
-3.893750E+00,+1.258119E+00,+1.320933E+00
-3.890625E+00,+1.285757E+00,+1.348571E+00
-3.887500E+00,+1.280732E+00,+1.341033E+00
-3.884375E+00,+1.147566E+00,+1.207867E+00
-3.881250E+00,+1.021938E+00,+1.077214E+00
-3.878125E+00,+1.129978E+00,+1.187767E+00
